11-08-2022 19:46:57.049,-,AT,"End Device,0013A20041F410A6,802.15.4 TH PRO,2003,COM7 - 230400/8/N/1/N,1,45"
11-08-2022 19:47:23.322,2465,RECV,3334333132362C323237392C37322E30302C32352E35340D0A
11-08-2022 19:47:23.448,2466,RECV,3334333233332C323237392C37322E30302C32352E33300D0A
11-08-2022 19:47:23.573,2467,RECV,3334333338342C323334342C37322E30302C32352E35370D0A
11-08-2022 19:47:23.699,2468,RECV,3334333439312C323334342C37322E30302C32352E35380D0A
11-08-2022 19:47:23.824,2469,RECV,3334333539382C323334342C37322E30302C32352E38350D0A
11-08-2022 19:47:23.887,2470,RECV,3334333730352C323334342C37322E30302C32362E31300D0A
11-08-2022 19:47:24.012,2471,RECV,3334333831322C323334342C37322E30302C32352E38360D0A
11-08-2022 19:47:24.138,2472,RECV,3334333931392C323334342C37322E30302C32352E39330D0A
11-08-2022 19:47:24.264,2473,RECV,3334343032372C323334342C37322E30302C32362E33320D0A
11-08-2022 19:47:24.389,2474,RECV,3334343137372C323439362C37322E30302C32362E34300D0A
11-08-2022 19:47:24.515,2475,RECV,3334343332382C323538322C37322E30302C32362E39330D0A
11-08-2022 19:47:24.641,2476,RECV,3334343433352C323538322C37322E30302C32362E34360D0A
11-08-2022 19:47:24.766,2477,RECV,3334343534322C323538322C37322E30302C32362E34350D0A
11-08-2022 19:47:24.892,2478,RECV,3334343634392C323538322C37322E30302C32362E34330D0A
11-08-2022 19:47:25.017,2479,RECV,3334343830302C323538322C37322E30302C32362E38320D0A
11-08-2022 19:47:25.143,2480,RECV,3334343930372C323538322C37322E30302C32362E37360D0A
11-08-2022 19:47:25.205,2481,RECV,3334353031342C323538322C37322E30302C32362E36310D0A
11-08-2022 19:47:25.331,2482,RECV,3334353132312C323538322C37322E30302C32372E30340D0A
11-08-2022 19:47:25.457,2483,RECV,3334353237322C323539382C37322E30302C32372E37350D0A
11-08-2022 19:47:25.645,2484,RECV,3334353432332C323436332C37322E30302C32382E32360D0A
11-08-2022 19:47:25.770,2485,RECV,3334353537342C323439362C37322E30302C32372E38310D0A
11-08-2022 19:47:25.896,2486,RECV,3334353638302C323439362C37322E30302C32362E37370D0A
11-08-2022 19:47:26.021,2487,RECV,3334353738382C323439362C37322E30302C32362E35350D0A
11-08-2022 19:47:26.084,2488,RECV,3334353839352C323439362C37322E30302C32372E32390D0A
11-08-2022 19:47:26.210,2489,RECV,3334363030322C323439362C37322E30302C32362E39350D0A
11-08-2022 19:47:26.328,2490,RECV,3334363130392C323439362C37322E30302C32372E31310D0A
11-08-2022 19:47:26.453,2491,RECV,3334363231372C323439362C37322E30302C32372E34320D0A
11-08-2022 19:47:26.538,2492,RECV,3334363332332C323439362C37322E30302C32372E31370D0A
11-08-2022 19:47:26.704,2493,RECV,3334363437342C323334312C37322E30302C32362E38350D0A
11-08-2022 19:47:26.767,2494,RECV,3334363538322C323334312C37322E30302C32362E38310D0A
11-08-2022 19:47:26.893,2495,RECV,3334363638392C323334312C37322E30302C32362E34300D0A
11-08-2022 19:47:27.018,2496,RECV,3334363739362C323334312C37322E30302C32362E33390D0A
11-08-2022 19:47:27.144,2497,RECV,3334363930332C323334312C37322E30302C32362E30380D0A
11-08-2022 19:47:27.208,2498,RECV,3334373031302C323334312C37322E30302C32352E35390D0A
11-08-2022 19:47:27.332,2499,RECV,3334373131372C323334312C37322E30302C32342E39380D0A
11-08-2022 19:47:27.458,2500,RECV,3334373236382C323736392C37322E30302C32342E38350D0A
11-08-2022 19:47:27.646,2501,RECV,3334373431392C323638352C37322E30302C32362E30340D0A
11-08-2022 19:47:27.709,2502,RECV,333437353236
11-08-2022 19:47:27.772,2503,RECV,2C323638352C37322E30302C32352E38380D0A
11-08-2022 19:47:27.834,2504,RECV,3334373633332C323638352C37322E30302C32352E37320D0A
11-08-2022 19:47:27.960,2505,RECV,3334373734302C323638352C37322E30302C32352E35350D0A
11-08-2022 19:47:28.085,2506,RECV,3334373834372C323638352C37322E30302C32352E33330D0A
11-08-2022 19:47:28.148,2507,RECV,3334373935352C323638352C37322E30302C
11-08-2022 19:47:28.211,2508,RECV,32352E36380D0A
11-08-2022 19:47:28.276,2509,RECV,3334383036312C323638352C37322E30302C32352E39330D0A
11-08-2022 19:47:28.400,2510,RECV,3334383136392C323638352C37322E30302C32362E31390D0A
11-08-2022 19:47:28.525,2511,RECV,3334383331392C323438382C37322E30302C32362E30360D0A
11-08-2022 19:47:28.651,2512,RECV,3334383432372C323438382C37322E30302C32352E39390D0A
11-08-2022 19:47:28.776,2513,RECV,3334383533332C323438382C37322E30302C32362E33320D0A
11-08-2022 19:47:28.839,2514,RECV,333438363431
11-08-2022 19:47:28.902,2515,RECV,2C323438382C37322E30302C32362E33320D0A
11-08-2022 19:47:29.027,2516,RECV,3334383739312C323438382C37322E30302C32362E33380D0A
11-08-2022 19:47:29.153,2517,RECV,3334383839392C323438382C37322E30302C32352E39310D0A
11-08-2022 19:47:29.216,2518,RECV,3334393030352C323438382C37322E30302C32352E33340D0A
11-08-2022 19:47:29.343,2519,RECV,3334393131332C323438382C37322E30302C32352E31320D0A
11-08-2022 19:47:29.529,2520,RECV,3334393236332C323439362C37322E30302C32362E30310D0A
11-08-2022 19:47:29.655,2521,RECV,3334393431352C323438302C37322E30302C32352E35380D0A
11-08-2022 19:47:29.781,2522,RECV,3334393532312C323438302C37322E30302C32352E34320D0A
11-08-2022 19:47:29.843,2523,RECV,3334393632392C323438302C37322E30302C32352E31350D0A
11-08-2022 19:47:30.031,2524,RECV,3334393737392C323438302C37322E30302C32352E30330D0A
11-08-2022 19:47:30.094,2525,RECV,3334393838372C323438302C37322E30302C32352E33330D0A
11-08-2022 19:47:30.220,2526,RECV,3334393939332C323438302C37322E30302C32352E34350D0A
11-08-2022 19:47:30.346,2527,RECV,3335303130312C323438302C37322E30302C32352E32310D0A
11-08-2022 19:47:30.471,2528,RECV,3335303230382C323438302C37322E30302C32352E31300D0A
11-08-2022 19:47:30.596,2529,RECV,3335303335392C323533362C37322E30302C32352E30380D0A
11-08-2022 19:47:30.722,2530,RECV,3335303531302C323437312C37322E30302C32362E31370D0A
11-08-2022 19:47:30.910,2531,RECV,3335303636302C323430342C37322E30302C32362E32380D0A
